snapshot_path,rel_path,radon_total_complexity,radon_num_items,pylint_msgs_count,pylint_rc,bandit_issues_count,bandit_rc
snapshots\fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\array_default_migrations\0002_integerarraymodel_field_2.py,fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\array_default_migrations\0002_integerarraymodel_field_2.py,1,1,6,26,0,0
snapshots\fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\migrations\0002_create_test_models.py,fecca298a2c6de22b054eaffeb4368b1167c7fd5\tests\postgres_tests\migrations\0002_create_test_models.py,1,1,7,26,0,0
snapshots\fecca298a2c6de22b054eaffeb4368b1167c7fd5\django\contrib\postgres\fields\array.py,fecca298a2c6de22b054eaffeb4368b1167c7fd5\django\contrib\postgres\fields\array.py,112,47,80,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\backends\tests.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\backends\tests.py,121,68,103,30,12,1
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\model_fields\test_binaryfield.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\model_fields\test_binaryfield.py,9,7,12,18,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\postgres_tests\test_constraints.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\postgres_tests\test_constraints.py,63,58,136,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\serializers\test_data.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\serializers\test_data.py,39,24,50,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\serializers\test_xml.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\serializers\test_xml.py,15,7,11,30,4,1
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\utils_tests\test_text.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\utils_tests\test_text.py,30,21,32,22,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\gis_tests\distapp\models.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\gis_tests\distapp\models.py,10,9,14,26,0,0
